R1,R2,R3,R4,R5,probabilidad
1,8,13,22,28,0.08524607988543019
1,8,16,21,28,0.08163575154217832
1,8,14,23,28,0.08007312309983546
1,8,13,22,28,0.0852460798854301
1,8,16,21,28,0.0816357515421783
1,8,14,23,28,0.0800731230998354
1,7,13,20,28,0.08675474633022928
1,8,13,22,28,0.08524607988543019
1,8,13,22,28,0.08524607988543019
1,8,16,20,28,0.08459688098923866
1,8,14,20,28,0.08451922233091416
1,8,14,20,28,0.08451922233091416
1,7,13,22,28,0.08393333810613447
1,7,13,21,28,0.0837180855097982
1,7,13,21,28,0.0837180855097982
1,8,13,23,28,0.08347654013098825
1,7,16,20,28,0.08329413650853132
1,7,14,20,28,0.08321767374995312
1,7,13,23,28,0.08219104827062021
1,7,13,23,28,0.08219104827062021
1,8,16,22,28,0.08184565012462094
1,8,16,22,28,0.08184565012462094
1,8,14,22,28,0.08177051705465371
1,8,14,22,28,0.08177051705465371
1,7,13,19,28,0.08139907519930105
1,9,13,22,28,0.08082728030992102
1,8,15,20,28,0.08081733110612904
1,7,14,22,28,0.08051129699202414
1,7,16,21,28,0.08037860679279332
1,7,16,21,28,0.08037860679279332
1,7,14,21,28,0.08030482044643483
1,9,16,20,28,0.08021173316417674
1,6,13,22,28,0.08015603465983047
1,8,16,23,28,0.08014669655610128
1,8,16,23,28,0.08014669655610128
1,9,14,20,28,0.08013810000528754
1,8,14,23,28,0.08007312309983546
1,8,14,23,28,0.08007312309983546
1,8,14,23,28,0.08007312309983546
1,8,14,23,28,0.08007312309983546
1,8,13,22,28,0.0852460798854301
1,8,16,21,28,0.0816357515421783
1,8,14,23,28,0.0800731230998354
1,8,13,22,28,0.0852460798854301
1,8,16,21,28,0.0816357515421783
1,8,14,23,28,0.0800731230998354
1,7,13,20,28,0.0867547463302292
1,8,13,22,28,0.0852460798854301
1,8,13,22,28,0.0852460798854301
1,8,16,20,28,0.0845968809892386
1,8,14,20,28,0.0845192223309141
1,8,14,20,28,0.0845192223309141
1,7,13,22,28,0.0839333381061344
1,7,13,21,28,0.0837180855097982
1,7,13,21,28,0.0837180855097982
1,8,13,23,28,0.0834765401309882
1,7,16,20,28,0.0832941365085313
1,7,14,20,28,0.0832176737499531
1,7,13,23,28,0.0821910482706202
1,7,13,23,28,0.0821910482706202
1,8,16,22,28,0.0818456501246209
1,8,16,22,28,0.0818456501246209
1,8,14,22,28,0.0817705170546537
1,8,14,22,28,0.0817705170546537
1,7,13,19,28,0.081399075199301
1,9,13,22,28,0.080827280309921
1,8,15,20,28,0.080817331106129
1,7,14,22,28,0.0805112969920241
1,7,16,21,28,0.0803786067927933
1,7,16,21,28,0.0803786067927933
1,7,14,21,28,0.0803048204464348
1,9,16,20,28,0.0802117331641767
1,6,13,22,28,0.0801560346598304
1,8,16,23,28,0.0801466965561012
1,8,16,23,28,0.0801466965561012
1,9,14,20,28,0.0801381000052875
1,8,14,23,28,0.0800731230998354
1,8,14,23,28,0.0800731230998354
1,8,14,23,28,0.0800731230998354
1,8,14,23,28,0.0800731230998354
1,8,13,20,28,0.08811161575338845
1,7,13,20,28,0.08675474633022928
1,7,13,20,28,0.08675474633022928
1,7,13,20,28,0.08675474633022928
1,8,13,22,28,0.08524607988543019
1,8,13,21,28,0.08502746067598536
1,8,16,20,28,0.08459688098923866
1,8,16,20,28,0.08459688098923866
1,8,14,20,28,0.08451922233091416
1,7,13,22,28,0.08393333810613447
1,7,13,22,28,0.08393333810613447
1,7,13,22,28,0.08393333810613447
1,7,13,21,28,0.0837180855097982
1,9,13,20,28,0.08354427880590912
1,9,13,20,28,0.08354427880590912
1,8,13,23,28,0.08347654013098825
1,7,16,20,28,0.08329413650853132
1,7,14,20,28,0.08321767374995312
1,7,14,20,28,0.08321767374995312
1,7,14,20,28,0.08321767374995312
1,6,13,20,28,0.08285046932075271
1,8,13,19,28,0.08267218037087228
1,8,16,22,28,0.08184565012462094
1,8,16,22,28,0.08184565012462094
1,8,14,22,28,0.08177051705465371
1,8,14,22,28,0.08177051705465371
1,8,16,21,28,0.08163575154217832
1,8,16,21,28,0.08163575154217832
1,7,16,22,28,0.08058527305488809
1,7,16,22,28,0.08058527305488809
1,7,16,22,28,0.08058527305488809
1,7,16,22,28,0.08058527305488809
1,7,14,22,28,0.08051129699202414
1,7,14,21,28,0.08030482044643483
1,9,16,20,28,0.08021173316417674
1,9,16,20,28,0.08021173316417674
1,9,14,20,28,0.08013810000528754
1,8,14,23,28,0.08007312309983546
1,8,14,23,28,0.08007312309983546
1,8,14,23,28,0.08007312309983546
1,8,13,22,28,0.0852460798854301
1,8,16,21,28,0.0816357515421783
1,8,14,23,28,0.0800731230998354
1,8,13,22,28,0.0852460798854301
1,8,16,21,28,0.0816357515421783
1,8,14,23,28,0.0800731230998354
1,7,13,20,28,0.0867547463302292
1,8,13,22,28,0.0852460798854301
1,8,13,22,28,0.0852460798854301
1,8,16,20,28,0.0845968809892386
1,8,14,20,28,0.0845192223309141
1,8,14,20,28,0.0845192223309141
1,7,13,22,28,0.0839333381061344
1,7,13,21,28,0.0837180855097982
1,7,13,21,28,0.0837180855097982
1,8,13,23,28,0.0834765401309882
1,7,16,20,28,0.0832941365085313
1,7,14,20,28,0.0832176737499531
1,7,13,23,28,0.0821910482706202
1,7,13,23,28,0.0821910482706202
1,8,16,22,28,0.0818456501246209
1,8,16,22,28,0.0818456501246209
1,8,14,22,28,0.0817705170546537
1,8,14,22,28,0.0817705170546537
1,7,13,19,28,0.081399075199301
1,9,13,22,28,0.080827280309921
1,8,15,20,28,0.080817331106129
1,7,14,22,28,0.0805112969920241
1,7,16,21,28,0.0803786067927933
1,7,16,21,28,0.0803786067927933
1,7,14,21,28,0.0803048204464348
1,9,16,20,28,0.0802117331641767
1,6,13,22,28,0.0801560346598304
1,8,16,23,28,0.0801466965561012
1,8,16,23,28,0.0801466965561012
1,9,14,20,28,0.0801381000052875
1,8,14,23,28,0.0800731230998354
1,8,14,23,28,0.0800731230998354
1,8,14,23,28,0.0800731230998354
1,8,14,23,28,0.0800731230998354
1,8,13,22,28,0.0852460798854301
1,8,16,21,28,0.0816357515421783
1,8,14,23,28,0.0800731230998354
1,8,13,22,28,0.0852460798854301
1,8,16,21,28,0.0816357515421783
1,8,14,23,28,0.0800731230998354
1,7,13,20,28,0.0867547463302292
1,8,13,22,28,0.0852460798854301
1,8,13,22,28,0.0852460798854301
1,8,16,20,28,0.0845968809892386
1,8,14,20,28,0.0845192223309141
1,8,14,20,28,0.0845192223309141
1,7,13,22,28,0.0839333381061344
1,7,13,21,28,0.0837180855097982
1,7,13,21,28,0.0837180855097982
1,8,13,23,28,0.0834765401309882
1,7,16,20,28,0.0832941365085313
1,7,14,20,28,0.0832176737499531
1,7,13,23,28,0.0821910482706202
1,7,13,23,28,0.0821910482706202
1,8,16,22,28,0.0818456501246209
1,8,16,22,28,0.0818456501246209
1,8,14,22,28,0.0817705170546537
1,8,14,22,28,0.0817705170546537
1,7,13,19,28,0.081399075199301
1,9,13,22,28,0.080827280309921
1,8,15,20,28,0.080817331106129
1,7,14,22,28,0.0805112969920241
1,7,16,21,28,0.0803786067927933
1,7,16,21,28,0.0803786067927933
1,7,14,21,28,0.0803048204464348
1,9,16,20,28,0.0802117331641767
1,6,13,22,28,0.0801560346598304
1,8,16,23,28,0.0801466965561012
1,8,16,23,28,0.0801466965561012
1,9,14,20,28,0.0801381000052875
1,8,14,23,28,0.0800731230998354
1,8,14,23,28,0.0800731230998354
1,8,14,23,28,0.0800731230998354
1,8,14,23,28,0.0800731230998354
1,8,13,20,28,0.0881116157533884
1,7,13,20,28,0.0867547463302292
1,7,13,20,28,0.0867547463302292
1,7,13,20,28,0.0867547463302292
1,8,13,22,28,0.0852460798854301
1,8,13,21,28,0.0850274606759853
1,8,16,20,28,0.0845968809892386
1,8,16,20,28,0.0845968809892386
1,8,14,20,28,0.0845192223309141
1,7,13,22,28,0.0839333381061344
1,7,13,22,28,0.0839333381061344
1,7,13,22,28,0.0839333381061344
1,7,13,21,28,0.0837180855097982
1,9,13,20,28,0.0835442788059091
1,9,13,20,28,0.0835442788059091
1,8,13,23,28,0.0834765401309882
1,7,16,20,28,0.0832941365085313
1,7,14,20,28,0.0832176737499531
1,7,14,20,28,0.0832176737499531
1,7,14,20,28,0.0832176737499531
1,6,13,20,28,0.0828504693207527
1,8,13,19,28,0.0826721803708722
1,8,16,22,28,0.0818456501246209
1,8,16,22,28,0.0818456501246209
1,8,14,22,28,0.0817705170546537
1,8,14,22,28,0.0817705170546537
1,8,16,21,28,0.0816357515421783
1,8,16,21,28,0.0816357515421783
1,7,16,22,28,0.080585273054888
1,7,16,22,28,0.080585273054888
1,7,16,22,28,0.080585273054888
1,7,16,22,28,0.080585273054888
1,7,14,22,28,0.0805112969920241
1,7,14,21,28,0.0803048204464348
1,9,16,20,28,0.0802117331641767
1,9,16,20,28,0.0802117331641767
1,9,14,20,28,0.0801381000052875
1,8,14,23,28,0.0800731230998354
1,8,14,23,28,0.0800731230998354
1,8,14,23,28,0.0800731230998354
1,8,13,22,28,0.08524607988543019
1,8,13,22,28,0.08524607988543019
1,8,13,22,28,0.08524607988543019
1,8,13,22,28,0.08524607988543019
1,8,13,22,28,0.08524607988543019
1,8,14,20,28,0.08451922233091416
1,7,13,22,28,0.08393333810613447
1,7,13,22,28,0.08393333810613447
1,7,13,21,28,0.0837180855097982
1,8,13,23,28,0.08347654013098825
1,7,14,20,28,0.08321767374995312
1,7,14,20,28,0.08321767374995312
1,7,13,23,28,0.08219104827062021
1,8,16,22,28,0.08184565012462094
1,8,16,22,28,0.08184565012462094
1,8,14,22,28,0.08177051705465371
1,8,16,21,28,0.08163575154217832
1,8,16,21,28,0.08163575154217832
1,8,14,21,28,0.08156081115593779
1,8,15,20,28,0.08081733110612904
1,8,15,20,28,0.08081733110612904
1,8,15,20,28,0.08081733110612904
1,9,13,21,28,0.08061999340421604
1,9,13,21,28,0.08061999340421604
1,7,16,22,28,0.08058527305488809
1,7,16,21,28,0.08037860679279332
1,7,16,21,28,0.08037860679279332
1,7,14,21,28,0.08030482044643483
1,6,13,22,28,0.08015603465983047
1,8,16,23,28,0.08014669655610128
1,9,14,20,28,0.08013810000528754
1,9,14,20,28,0.08013810000528754
1,8,14,23,28,0.08007312309983546
1,8,14,23,28,0.08007312309983546
